cipher,platform,variant,unknown_bits,keys_tested,seconds,keys_per_sec,found_key
simon32_64,cpu,cpu_optimized_ilp2,1,2,9.8e-07,2.04082e+06,0xa55a12343fffffff
simon32_64,cpu,cpu_optimized_ilp2,2,4,1.13e-06,3.53982e+06,0xa55a12343fffffff
simon32_64,cpu,cpu_optimized_ilp2,3,8,2.07e-06,3.86473e+06,0xa55a12343fffffff
simon32_64,cpu,cpu_optimized_ilp2,4,16,4.08e-06,3.92157e+06,0xa55a12343fffffff
simon32_64,cpu,cpu_optimized_ilp2,5,32,8.07e-06,3.9653e+06,0xa55a12343fffffff
simon32_64,cpu,cpu_optimized_ilp2,6,64,1.607e-05,3.98258e+06,0xa55a12343fffffff
simon32_64,cpu,cpu_optimized_ilp2,7,128,3.209e-05,3.98878e+06,0xa55a12343fffffff
simon32_64,cpu,cpu_optimized_ilp2,8,256,6.42e-05,3.98754e+06,0xa55a12343fffffff
simon32_64,cpu,cpu_optimized_ilp2,9,512,0.00012882,3.97454e+06,0xa55a12343fffffff
simon32_64,cpu,cpu_optimized_ilp2,10,1024,0.00025607,3.99891e+06,0xa55a12343fffffff
simon32_64,cpu,cpu_optimized_ilp2,11,2048,0.000515092,3.97599e+06,0xa55a12343fffffff
simon32_64,cpu,cpu_optimized_ilp2,12,4096,0.00102884,3.98117e+06,0xa55a12343fffffff
simon32_64,cpu,cpu_optimized_ilp2,13,8192,0.00206802,3.96127e+06,0xa55a12343fffffff
simon32_64,cpu,cpu_optimized_ilp2,14,16384,0.00412802,3.96897e+06,0xa55a12343fffffff
simon32_64,cpu,cpu_optimized_ilp2,15,32768,0.00522371,6.27294e+06,0xa55a12343fffffff
simon32_64,cpu,cpu_optimized_ilp2,16,65536,0.00821949,7.97324e+06,0xa55a12343fffffff
simon32_64,cpu,cpu_optimized_ilp2,17,131072,0.0164449,7.97039e+06,0xa55a12343fffffff
simon32_64,cpu,cpu_optimized_ilp2,18,262144,0.0330056,7.9424e+06,0xa55a12343fffffff
simon32_64,cpu,cpu_optimized_ilp2,19,524288,0.0663061,7.90709e+06,0xa55a12343fffffff
simon32_64,cpu,cpu_optimized_ilp2,20,1048576,0.132396,7.92003e+06,0xa55a12343fffffff
simon32_64,cpu,cpu_optimized_ilp2,21,2097152,0.264446,7.93036e+06,0xa55a12343fffffff
