cipher,platform,variant,unknown_bits,keys_tested,seconds,keys_per_sec,found_key
rocca,cpu,cpu_baseline,1,2,7.39e-06,270636,0xa55a12343fffffff
rocca,gpu,gpu0_baseline,1,2,0.000136806,14619.2,0xa55a12343fffffff
rocca,gpu,gpu2_optimized+ilp,1,2,0.000137018,14596.7,0xa55a12343fffffff
rocca,cpu,cpu_baseline,2,4,7.13e-06,561010,0xa55a12343fffffff
rocca,gpu,gpu0_baseline,2,4,0.000136522,29299.4,0xa55a12343fffffff
rocca,gpu,gpu2_optimized+ilp,2,4,0.000136717,29257.6,0xa55a12343fffffff
rocca,cpu,cpu_baseline,3,8,1.27833e-05,625815,0xa55a12343fffffff
rocca,gpu,gpu0_baseline,3,8,0.000136294,58696.5,0xa55a12343fffffff
rocca,gpu,gpu2_optimized+ilp,3,8,0.000136813,58474.1,0xa55a12343fffffff
rocca,cpu,cpu_baseline,4,16,2.56103e-05,624748,0xa55a12343fffffff
rocca,gpu,gpu0_baseline,4,16,0.000136294,117393,0xa55a12343fffffff
rocca,gpu,gpu2_optimized+ilp,4,16,0.000136822,116940,0xa55a12343fffffff
rocca,cpu,cpu_baseline,5,32,5.079e-05,630045,0xa55a12343fffffff
rocca,gpu,gpu0_baseline,5,32,0.000199066,160751,0xa55a12343fffffff
rocca,gpu,gpu2_optimized+ilp,5,32,0.000198461,161241,0xa55a12343fffffff
rocca,cpu,cpu_baseline,6,64,0.000102444,624734,0xa55a12343fffffff
rocca,gpu,gpu0_baseline,6,64,0.000370595,172695,0xa55a12343fffffff
rocca,gpu,gpu2_optimized+ilp,6,64,0.00036823,173804,0xa55a12343fffffff
rocca,cpu,cpu_baseline,7,128,0.000206047,621217,0xa55a12343fffffff
rocca,gpu,gpu0_baseline,7,128,0.000726845,176104,0xa55a12343fffffff
rocca,gpu,gpu2_optimized+ilp,7,128,0.000721408,177431,0xa55a12343fffffff
rocca,cpu,cpu_baseline,8,256,0.000409461,625213,0xa55a12343fffffff
rocca,gpu,gpu0_baseline,8,256,0.00143607,178264,0xa55a12343fffffff
rocca,gpu,gpu2_optimized+ilp,8,256,0.0014378,178050,0xa55a12343fffffff
rocca,cpu,cpu_baseline,9,512,0.000819525,624752,0xa55a12343fffffff
rocca,gpu,gpu0_baseline,9,512,0.00143667,356379,0xa55a12343fffffff
rocca,gpu,gpu2_optimized+ilp,9,512,0.00144056,355417,0xa55a12343fffffff
rocca,cpu,cpu_baseline,10,1024,0.00163404,626667,0xa55a12343fffffff
rocca,gpu,gpu0_baseline,10,1024,0.00143606,713063,0xa55a12343fffffff
rocca,gpu,gpu2_optimized+ilp,10,1024,0.00143677,712708,0xa55a12343fffffff
rocca,cpu,cpu_baseline,11,2048,0.00327101,626106,0xa55a12343fffffff
rocca,gpu,gpu0_baseline,11,2048,0.00144527,1.41703e+06,0xa55a12343fffffff
