cipher,platform,variant,unknown_bits,keys_tested,seconds,keys_per_sec,found_key
rocca_s,cpu,cpu_baseline,1,2,7.16e-06,279330,0xa55a12343fffffff
rocca_s,gpu,gpu0_baseline,1,2,0.000179814,11122.6,0xa55a12343fffffff
rocca_s,gpu,gpu2_optimized+ilp,1,2,0.00017664,11322.5,0xa55a12343fffffff
rocca_s,cpu,cpu_baseline,2,4,8.14333e-06,491199,0xa55a12343fffffff
rocca_s,gpu,gpu0_baseline,2,4,0.000177459,22540.4,0xa55a12343fffffff
rocca_s,gpu,gpu2_optimized+ilp,2,4,0.00017705,22592.5,0xa55a12343fffffff
rocca_s,cpu,cpu_baseline,3,8,1.427e-05,560617,0xa55a12343fffffff
rocca_s,gpu,gpu0_baseline,3,8,0.000177459,45080.8,0xa55a12343fffffff
rocca_s,gpu,gpu2_optimized+ilp,3,8,0.000175309,45633.8,0xa55a12343fffffff
rocca_s,cpu,cpu_baseline,4,16,2.84167e-05,563050,0xa55a12343fffffff
rocca_s,gpu,gpu0_baseline,4,16,0.000175923,90948.8,0xa55a12343fffffff
rocca_s,gpu,gpu2_optimized+ilp,4,16,0.000175411,91214.2,0xa55a12343fffffff
rocca_s,cpu,cpu_baseline,5,32,5.67667e-05,563711,0xa55a12343fffffff
rocca_s,gpu,gpu0_baseline,5,32,0.000253235,126365,0xa55a12343fffffff
rocca_s,gpu,gpu2_optimized+ilp,5,32,0.00025385,126059,0xa55a12343fffffff
rocca_s,cpu,cpu_baseline,6,64,0.000113394,564405,0xa55a12343fffffff
rocca_s,gpu,gpu0_baseline,6,64,0.000484966,131968,0xa55a12343fffffff
rocca_s,gpu,gpu2_optimized+ilp,6,64,0.000476877,134207,0xa55a12343fffffff
rocca_s,cpu,cpu_baseline,7,128,0.000226494,565137,0xa55a12343fffffff
rocca_s,gpu,gpu0_baseline,7,128,0.00093696,136612,0xa55a12343fffffff
rocca_s,gpu,gpu2_optimized+ilp,7,128,0.000920269,139090,0xa55a12343fffffff
rocca_s,cpu,cpu_baseline,8,256,0.000452978,565149,0xa55a12343fffffff
rocca_s,gpu,gpu0_baseline,8,256,0.00179712,142450,0xa55a12343fffffff
rocca_s,gpu,gpu2_optimized+ilp,8,256,0.00175165,146148,0xa55a12343fffffff
rocca_s,cpu,cpu_baseline,9,512,0.000909032,563236,0xa55a12343fffffff
rocca_s,gpu,gpu0_baseline,9,512,0.00177848,287886,0xa55a12343fffffff
rocca_s,gpu,gpu2_optimized+ilp,9,512,0.00175268,292124,0xa55a12343fffffff
rocca_s,cpu,cpu_baseline,10,1024,0.00181443,564366,0xa55a12343fffffff
rocca_s,gpu,gpu0_baseline,10,1024,0.0018007,568666,0xa55a12343fffffff
rocca_s,gpu,gpu2_optimized+ilp,10,1024,0.00176445,580349,0xa55a12343fffffff
rocca_s,cpu,cpu_baseline,11,2048,0.00362967,564239,0xa55a12343fffffff
rocca_s,gpu,gpu0_baseline,11,2048,0.00188129,1.08861e+06,0xa55a12343fffffff
rocca_s,gpu,gpu2_optimized+ilp,11,2048,0.00177142,1.15614e+06,0xa55a12343fffffff
rocca_s,cpu,cpu_baseline,12,4096,0.00728687,562107,0xa55a12343fffffff
rocca_s,gpu,gpu0_baseline,12,4096,0.00190689,2.148e+06,0xa55a12343fffffff
rocca_s,gpu,gpu2_optimized+ilp,12,4096,0.00178831,2.29043e+06,0xa55a12343fffffff
rocca_s,cpu,cpu_baseline,13,8192,0.0145578,562723,0xa55a12343fffffff
rocca_s,gpu,gpu0_baseline,13,8192,0.00199485,4.10657e+06,0xa55a12343fffffff
rocca_s,gpu,gpu2_optimized+ilp,13,8192,0.00188119,4.35469e+06,0xa55a12343fffffff
rocca_s,cpu,cpu_baseline,14,16384,0.0291248,562544,0xa55a12343fffffff
rocca_s,gpu,gpu0_baseline,14,16384,0.0102376,1.60037e+06,0xa55a12343fffffff
rocca_s,gpu,gpu2_optimized+ilp,14,16384,0.0101277,1.61775e+06,0xa55a12343fffffff
rocca_s,cpu,cpu_baseline,15,32768,0.05948,550908,0xa55a12343fffffff
rocca_s,gpu,gpu0_baseline,15,32768,0.0324192,1.01076e+06,0xa55a12343fffffff
rocca_s,gpu,gpu2_optimized+ilp,15,32768,0.0324261,1.01054e+06,0xa55a12343fffffff
rocca_s,cpu,cpu_baseline,16,65536,0.11681,561049,0xa55a12343fffffff
rocca_s,gpu,gpu0_baseline,16,65536,0.0722006,907693,0xa55a12343fffffff
rocca_s,gpu,gpu2_optimized+ilp,16,65536,0.0724248,904884,0xa55a12343fffffff
rocca_s,cpu,cpu_baseline,17,131072,0.234133,559817,0xa55a12343fffffff
rocca_s,gpu,gpu0_baseline,17,131072,0.147625,887874,0xa55a12343fffffff
rocca_s,gpu,gpu2_optimized+ilp,17,131072,0.147731,887237,0xa55a12343fffffff
rocca_s,cpu,cpu_baseline,18,262144,0.470179,557541,0xa55a12343fffffff
rocca_s,gpu,gpu0_baseline,18,262144,0.288307,909253,0xa55a12343fffffff
rocca_s,gpu,gpu2_optimized+ilp,18,262144,0.29656,883948,0xa55a12343fffffff
rocca_s,cpu,cpu_baseline,19,524288,0.950235,551746,0xa55a12343fffffff
rocca_s,gpu,gpu0_baseline,19,524288,0.590865,887322,0xa55a12343fffffff
rocca_s,gpu,gpu2_optimized+ilp,19,524288,0.797021,657809,0xa55a12343fffffff
rocca_s,cpu,cpu_baseline,20,1048576,1.87545,559105,0xa55a12343fffffff
rocca_s,gpu,gpu0_baseline,20,1048576,1.63547,641148,0xa55a12343fffffff
rocca_s,gpu,gpu2_optimized+ilp,20,1048576,1.51575,691785,0xa55a12343fffffff
rocca_s,cpu,cpu_baseline,21,2097152,3.76293,557318,0xa55a12343fffffff
