cipher,platform,variant,unknown_bits,keys_tested,seconds,keys_per_sec,found_key
simon32_64,gpu,strategy_low_bits,1,2,5.6192e-06,355923,0xa55a12343fffffff
simon32_64,gpu,strategy_high_bits,1,2,5.7056e-06,350533,0xa55a12343fffffff
simon32_64,gpu,strategy_interleaved,1,2,5.8272e-06,343218,0xa55a12343fffffff
simon32_64,gpu,strategy_random_bits,1,2,5.6256e-06,355518,0xa55a12343fffffff
simon32_64,gpu,strategy_low_bits,2,4,5.7248e-06,698714,0xa55a12343fffffff
simon32_64,gpu,strategy_high_bits,2,4,5.728e-06,698324,0xa55a12343fffffff
simon32_64,gpu,strategy_interleaved,2,4,5.808e-06,688705,0xa55a12343fffffff
simon32_64,gpu,strategy_random_bits,2,4,5.6352e-06,709824,0xa55a12343fffffff
simon32_64,gpu,strategy_low_bits,3,8,5.5072e-06,1.45264e+06,0xa55a12343fffffff
simon32_64,gpu,strategy_high_bits,3,8,5.7344e-06,1.39509e+06,0xa55a12343fffffff
simon32_64,gpu,strategy_interleaved,3,8,5.6096e-06,1.42613e+06,0xa55a12343fffffff
simon32_64,gpu,strategy_random_bits,3,8,5.5264e-06,1.4476e+06,0xa55a12343fffffff
simon32_64,gpu,strategy_low_bits,4,16,5.6064e-06,2.85388e+06,0xa55a12343fffffff
simon32_64,gpu,strategy_high_bits,4,16,5.7152e-06,2.79955e+06,0xa55a12343fffffff
simon32_64,gpu,strategy_interleaved,4,16,5.5328e-06,2.89184e+06,0xa55a12343fffffff
simon32_64,gpu,strategy_random_bits,4,16,5.8432e-06,2.73823e+06,0xa55a12343fffffff
simon32_64,gpu,strategy_low_bits,5,32,5.7216e-06,5.59284e+06,0xa55a12343fffffff
simon32_64,gpu,strategy_high_bits,5,32,5.4336e-06,5.88928e+06,0xa55a12343fffffff
simon32_64,gpu,strategy_interleaved,5,32,5.8368e-06,5.48246e+06,0xa55a12343fffffff
simon32_64,gpu,strategy_random_bits,5,32,5.5296e-06,5.78704e+06,0xa55a12343fffffff
simon32_64,gpu,strategy_low_bits,6,64,6.1312e-06,1.04384e+07,0xa55a12343fffffff
simon32_64,gpu,strategy_high_bits,6,64,6.5376e-06,9.78952e+06,0xa55a12343fffffff
simon32_64,gpu,strategy_interleaved,6,64,5.5584e-06,1.15141e+07,0xa55a12343fffffff
simon32_64,gpu,strategy_random_bits,6,64,6.0416e-06,1.05932e+07,0xa55a12343fffffff
simon32_64,gpu,strategy_low_bits,7,128,5.808e-06,2.20386e+07,0xa55a12343fffffff
simon32_64,gpu,strategy_high_bits,7,128,5.9296e-06,2.15866e+07,0xa55a12343fffffff
simon32_64,gpu,strategy_interleaved,7,128,5.8464e-06,2.18938e+07,0xa55a12343fffffff
simon32_64,gpu,strategy_random_bits,7,128,5.8336e-06,2.19419e+07,0xa55a12343fffffff
simon32_64,gpu,strategy_low_bits,8,256,7.1584e-06,3.57622e+07,0xa55a12343fffffff
simon32_64,gpu,strategy_high_bits,8,256,6.6688e-06,3.83877e+07,0xa55a12343fffffff
simon32_64,gpu,strategy_interleaved,8,256,6.7616e-06,3.78609e+07,0xa55a12343fffffff
simon32_64,gpu,strategy_random_bits,8,256,6.7616e-06,3.78609e+07,0xa55a12343fffffff
simon32_64,gpu,strategy_low_bits,9,512,9.216e-06,5.55556e+07,0xa55a12343fffffff
simon32_64,gpu,strategy_high_bits,9,512,9.4048e-06,5.44403e+07,0xa55a12343fffffff
simon32_64,gpu,strategy_interleaved,9,512,9.4368e-06,5.42557e+07,0xa55a12343fffffff
simon32_64,gpu,strategy_random_bits,9,512,9.216e-06,5.55556e+07,0xa55a12343fffffff
simon32_64,gpu,strategy_low_bits,10,1024,9.5264e-06,1.07491e+08,0xa55a12343fffffff
simon32_64,gpu,strategy_high_bits,10,1024,9.3184e-06,1.0989e+08,0xa55a12343fffffff
simon32_64,gpu,strategy_interleaved,10,1024,9.3792e-06,1.09178e+08,0xa55a12343fffffff
simon32_64,gpu,strategy_random_bits,10,1024,9.408e-06,1.08844e+08,0xa55a12343fffffff
simon32_64,gpu,strategy_low_bits,11,2048,9.5104e-06,2.15343e+08,0xa55a12343fffffff
simon32_64,gpu,strategy_high_bits,11,2048,9.8048e-06,2.08877e+08,0xa55a12343fffffff
simon32_64,gpu,strategy_interleaved,11,2048,9.2224e-06,2.22068e+08,0xa55a12343fffffff
simon32_64,gpu,strategy_random_bits,11,2048,9.744e-06,2.10181e+08,0xa55a12343fffffff
simon32_64,gpu,strategy_low_bits,12,4096,9.6256e-06,4.25532e+08,0xa55a12343fffffff
simon32_64,gpu,strategy_high_bits,12,4096,9.728e-06,4.21053e+08,0xa55a12343fffffff
simon32_64,gpu,strategy_interleaved,12,4096,9.8112e-06,4.17482e+08,0xa55a12343fffffff
simon32_64,gpu,strategy_random_bits,12,4096,9.9136e-06,4.1317e+08,0xa55a12343fffffff
simon32_64,gpu,strategy_low_bits,13,8192,9.9008e-06,8.27408e+08,0xa55a12343fffffff
simon32_64,gpu,strategy_high_bits,13,8192,9.8976e-06,8.27675e+08,0xa55a12343fffffff
simon32_64,gpu,strategy_interleaved,13,8192,9.7408e-06,8.40999e+08,0xa55a12343fffffff
simon32_64,gpu,strategy_random_bits,13,8192,9.6192e-06,8.5163e+08,0xa55a12343fffffff
simon32_64,gpu,strategy_low_bits,14,16384,9.8176e-06,1.66884e+09,0xa55a12343fffffff
simon32_64,gpu,strategy_high_bits,14,16384,1.01248e-05,1.6182e+09,0xa55a12343fffffff
simon32_64,gpu,strategy_interleaved,14,16384,9.8016e-06,1.67156e+09,0xa55a12343fffffff
simon32_64,gpu,strategy_random_bits,14,16384,9.9232e-06,1.65108e+09,0xa55a12343fffffff
simon32_64,gpu,strategy_low_bits,15,32768,1.01248e-05,3.23641e+09,0xa55a12343fffffff
simon32_64,gpu,strategy_high_bits,15,32768,1.01088e-05,3.24153e+09,0xa55a12343fffffff
simon32_64,gpu,strategy_interleaved,15,32768,1.01312e-05,3.23436e+09,0xa55a12343fffffff
simon32_64,gpu,strategy_random_bits,15,32768,1.01376e-05,3.23232e+09,0xa55a12343fffffff
simon32_64,gpu,strategy_low_bits,16,65536,1.76128e-05,3.72093e+09,0xa55a12343fffffff
simon32_64,gpu,strategy_high_bits,16,65536,1.80352e-05,3.63378e+09,0xa55a12343fffffff
simon32_64,gpu,strategy_interleaved,16,65536,1.77152e-05,3.69942e+09,0xa55a12343fffffff
simon32_64,gpu,strategy_random_bits,16,65536,1.77184e-05,3.69875e+09,0xa55a12343fffffff
simon32_64,gpu,strategy_low_bits,17,131072,3.17376e-05,4.12986e+09,0xa55a12343fffffff
simon32_64,gpu,strategy_high_bits,17,131072,3.15392e-05,4.15584e+09,0xa55a12343fffffff
simon32_64,gpu,strategy_interleaved,17,131072,3.16416e-05,4.14239e+09,0xa55a12343fffffff
simon32_64,gpu,strategy_random_bits,17,131072,3.14336e-05,4.16981e+09,0xa55a12343fffffff
simon32_64,gpu,strategy_low_bits,18,262144,5.98176e-05,4.38239e+09,0xa55a12343fffffff
simon32_64,gpu,strategy_high_bits,18,262144,6.00192e-05,4.36767e+09,0xa55a12343fffffff
simon32_64,gpu,strategy_interleaved,18,262144,6.02112e-05,4.35374e+09,0xa55a12343fffffff
simon32_64,gpu,strategy_random_bits,18,262144,5.99936e-05,4.36953e+09,0xa55a12343fffffff
simon32_64,gpu,strategy_low_bits,19,524288,6.60512e-05,7.9376e+09,0xa55a12343fffffff
simon32_64,gpu,strategy_high_bits,19,524288,6.57408e-05,7.97508e+09,0xa55a12343fffffff
simon32_64,gpu,strategy_interleaved,19,524288,6.61632e-05,7.92416e+09,0xa55a12343fffffff
simon32_64,gpu,strategy_random_bits,19,524288,6.59296e-05,7.95224e+09,0xa55a12343fffffff
simon32_64,gpu,strategy_low_bits,20,1048576,0.000105882,9.90329e+09,0xa55a12343fffffff
simon32_64,gpu,strategy_high_bits,20,1048576,0.000105776,9.91318e+09,0xa55a12343fffffff
simon32_64,gpu,strategy_interleaved,20,1048576,0.000105792,9.91168e+09,0xa55a12343fffffff
simon32_64,gpu,strategy_random_bits,20,1048576,0.000105779,9.91288e+09,0xa55a12343fffffff
