cipher,platform,variant,unknown_bits,keys_tested,seconds,keys_per_sec,found_key
simon32_64,cpu,cpu_baseline,1,2,8e-07,2.5e+06,0xa55a12343fffffff
simon32_64,gpu,gpu0_baseline,1,2,5.8368e-06,342653,0xa55a12343fffffff
simon32_64,gpu,gpu1_optimized,1,2,5.7536e-06,347608,0xa55a12343fffffff
simon32_64,gpu,gpu2_optimized+ilp,1,2,6.0416e-06,331038,0xa55a12343fffffff
present80,cpu,cpu_baseline,1,2,1.80333e-06,1.10906e+06,0xa55a12343fffffff
present80,gpu,gpu0_baseline,1,2,3.18528e-05,62788.8,0xa55a12343fffffff
present80,gpu,gpu1_optimized,1,2,2.3552e-05,84918.5,0xa55a12343fffffff
present80,gpu,gpu2_optimized+ilp,1,2,2.53952e-05,78755,0xa55a12343fffffff
present80,gpu,gpu3_optimized+shared,1,2,4.52672e-05,44182.1,0xa55a12343fffffff
speck64_128,cpu,cpu_baseline,1,2,1.7e-07,1.17647e+07,0xa55a12343fffffff
speck64_128,gpu,gpu0_baseline,1,2,5.0176e-06,398597,0xa55a12343fffffff
speck64_128,gpu,gpu1_optimized,1,2,5.12e-06,390625,0xa55a12343fffffff
speck64_128,gpu,gpu2_optimized+ilp,1,2,5.136e-06,389408,0xa55a12343fffffff
grain_v1,cpu,cpu_baseline,1,2,5.84667e-06,342075,0xa55a12343fffffff
grain_v1,gpu,gpu0_baseline,1,2,4.9664e-05,40270.6,0xa55a12343fffffff
grain_v1,gpu,gpu1_optimized,1,2,3.6864e-05,54253.5,0xa55a12343fffffff
grain_v1,gpu,gpu2_optimized+ilp,1,2,3.68672e-05,54248.8,0xa55a12343fffffff
trivium,cpu,cpu_baseline,1,2,3.47767e-05,57509.8,0xa55a12343fffffff
trivium,gpu,gpu0_baseline,1,2,7.1168e-05,28102.5,0xa55a12343fffffff
trivium,gpu,gpu1_optimized,1,2,6.8608e-05,29151.1,0xa55a12343fffffff
trivium,gpu,gpu2_optimized+ilp,1,2,6.8608e-05,29151.1,0xa55a12343fffffff
chacha20,cpu,cpu_baseline,1,2,2.4e-07,8.33333e+06,0xa55a12343fffffff
chacha20,gpu,gpu0_baseline,1,2,8.704e-06,229779,0xa55a12343fffffff
chacha20,gpu,gpu1_optimized,1,2,6.9632e-06,287224,0xa55a12343fffffff
chacha20,gpu,gpu2_optimized+ilp,1,2,7.168e-06,279018,0xa55a12343fffffff
tinyjambu_128,cpu,cpu_baseline,1,2,2.57933e-05,77539.4,0xa55a12343fffffff
tinyjambu_128,gpu,gpu0_baseline,1,2,0.000179309,11153.9,0xa55a12343fffffff
tinyjambu_128,gpu,gpu2_optimized+ilp,1,2,0.000180125,11103.4,0xa55a12343fffffff
tinyjambu_128,gpu,gpu4_bitsliced,1,2,8.6528e-05,23113.9,0xa55a12343fffffff
zuc_128,cpu,cpu_baseline,1,2,1.11667e-06,1.79104e+06,0xa55a12343fffffff
zuc_128,gpu,gpu0_baseline,1,2,1.49632e-05,133661,0xa55a12343fffffff
zuc_128,gpu,gpu1_optimized,1,2,1.4752e-05,135575,0xa55a12343fffffff
zuc_128,gpu,gpu2_optimized+ilp,1,2,1.51552e-05,131968,0xa55a12343fffffff
snow_v,cpu,cpu_baseline,1,2,2.11e-06,947867,0xa55a12343fffffff
snow_v,gpu,gpu0_baseline,1,2,5.53984e-05,36102.1,0xa55a12343fffffff
snow_v,gpu,gpu1_optimized,1,2,3.18528e-05,62788.8,0xa55a12343fffffff
snow_v,gpu,gpu2_optimized+ilp,1,2,3.21536e-05,62201.4,0xa55a12343fffffff
aes128,cpu,cpu_baseline,1,2,6.83333e-07,2.92683e+06,0xa55a12343fffffff
aes128,gpu,gpu0_baseline,1,2,6.3488e-05,31502,0xa55a12343fffffff
aes128,gpu,gpu1_optimized,1,2,3.04128e-05,65761.8,0xa55a12343fffffff
aes128,gpu,gpu2_optimized+ilp,1,2,3.09344e-05,64652.9,0xa55a12343fffffff
salsa20,cpu,cpu_baseline,1,2,3.66667e-07,5.45455e+06,0xa55a12343fffffff
salsa20,gpu,gpu0_baseline,1,2,8.9088e-06,224497,0xa55a12343fffffff
salsa20,gpu,gpu1_optimized,1,2,6.9632e-06,287224,0xa55a12343fffffff
salsa20,gpu,gpu2_optimized+ilp,1,2,7.168e-06,279018,0xa55a12343fffffff
grain128aeadv2,cpu,cpu_baseline,1,2,2.02867e-05,98586.9,0xa55a12343fffffff
grain128aeadv2,gpu,gpu0_baseline,1,2,0.00168038,1190.2,0xa55a12343fffffff
grain128aeadv2,gpu,gpu2_optimized+ilp,1,2,0.00153805,1300.35,0xa55a12343fffffff
grain128aeadv2,gpu,gpu4_bitsliced,1,2,0.0012162,1644.46,0xa55a12343fffffff
