cipher,platform,variant,unknown_bits,keys_tested,seconds,keys_per_sec,found_key
simon32_64,cpu,cpu_optimized_ilp2,1,2,1.37e-06,1.45985e+06,0xa55a12343fffffff
simon32_64,cpu,cpu_optimized_ilp2,2,4,1.02e-06,3.92157e+06,0xa55a12343fffffff
simon32_64,cpu,cpu_optimized_ilp2,3,8,1.85e-06,4.32432e+06,0xa55a12343fffffff
simon32_64,cpu,cpu_optimized_ilp2,4,16,3.6e-06,4.44444e+06,0xa55a12343fffffff
simon32_64,cpu,cpu_optimized_ilp2,5,32,7.18e-06,4.45682e+06,0xa55a12343fffffff
simon32_64,cpu,cpu_optimized_ilp2,6,64,1.431e-05,4.4724e+06,0xa55a12343fffffff
simon32_64,cpu,cpu_optimized_ilp2,7,128,2.853e-05,4.48651e+06,0xa55a12343fffffff
simon32_64,cpu,cpu_optimized_ilp2,8,256,5.708e-05,4.48493e+06,0xa55a12343fffffff
simon32_64,cpu,cpu_optimized_ilp2,9,512,0.00011404,4.48965e+06,0xa55a12343fffffff
simon32_64,cpu,cpu_optimized_ilp2,10,1024,0.00022833,4.48474e+06,0xa55a12343fffffff
simon32_64,cpu,cpu_optimized_ilp2,11,2048,0.000456749,4.48386e+06,0xa55a12343fffffff
simon32_64,cpu,cpu_optimized_ilp2,12,4096,0.00093324,4.38901e+06,0xa55a12343fffffff
simon32_64,cpu,cpu_optimized_ilp2,13,8192,0.00182686,4.4842e+06,0xa55a12343fffffff
simon32_64,cpu,cpu_optimized_ilp2,14,16384,0.00365854,4.47829e+06,0xa55a12343fffffff
simon32_64,cpu,cpu_optimized_ilp2,15,32768,0.00694823,4.71602e+06,0xa55a12343fffffff
simon32_64,cpu,cpu_optimized_ilp2,16,65536,0.00797902,8.21355e+06,0xa55a12343fffffff
simon32_64,cpu,cpu_optimized_ilp2,17,131072,0.0160012,8.1914e+06,0xa55a12343fffffff
simon32_64,cpu,cpu_optimized_ilp2,18,262144,0.0319601,8.20224e+06,0xa55a12343fffffff
simon32_64,cpu,cpu_optimized_ilp2,19,524288,0.0639189,8.20239e+06,0xa55a12343fffffff
simon32_64,cpu,cpu_optimized_ilp2,20,1048576,0.127855,8.20129e+06,0xa55a12343fffffff
simon32_64,cpu,cpu_optimized_ilp2,21,2097152,0.255691,8.20189e+06,0xa55a12343fffffff
simon32_64,cpu,cpu_optimized_ilp2,22,4194304,0.519326,8.07643e+06,0xa55a12343fffffff
simon32_64,cpu,cpu_optimized_ilp2,23,8388608,1.03399,8.11283e+06,0xa55a12343fffffff
simon32_64,cpu,cpu_optimized_ilp2,24,16777216,2.06689,8.11712e+06,0xa55a12343fffffff
simon32_64,cpu,cpu_optimized_ilp2,25,33554432,4.11646,8.15129e+06,0xa55a12343fffffff
simon32_64,cpu,cpu_optimized_ilp2,26,67108864,8.20207,8.18195e+06,0xa55a12343fffffff
simon32_64,cpu,cpu_optimized_ilp2,27,134217728,16.3846,8.19169e+06,0xa55a12343fffffff
simon32_64,cpu,cpu_optimized_ilp2,28,268435456,32.6887,8.21186e+06,0xa55a12343fffffff
simon32_64,cpu,cpu_optimized_ilp2,29,536870912,65.4057,8.20832e+06,0xa55a12343fffffff
simon32_64,cpu,cpu_optimized_ilp2,30,1073741824,130.908,8.20224e+06,0xa55a12343fffffff
present80,cpu,cpu_optimized_ilp2,1,2,1.365e-05,146520,0xa55a12343fffffff
present80,cpu,cpu_optimized_ilp2,2,4,2.252e-05,177620,0xa55a12343fffffff
present80,cpu,cpu_optimized_ilp2,3,8,4.431e-05,180546,0xa55a12343fffffff
present80,cpu,cpu_optimized_ilp2,4,16,9.28e-05,172414,0xa55a12343fffffff
present80,cpu,cpu_optimized_ilp2,5,32,0.00018918,169151,0xa55a12343fffffff
present80,cpu,cpu_optimized_ilp2,6,64,0.00038767,165089,0xa55a12343fffffff
present80,cpu,cpu_optimized_ilp2,7,128,0.000773339,165516,0xa55a12343fffffff
present80,cpu,cpu_optimized_ilp2,8,256,0.00156324,163762,0xa55a12343fffffff
present80,cpu,cpu_optimized_ilp2,9,512,0.00314271,162917,0xa55a12343fffffff
present80,cpu,cpu_optimized_ilp2,10,1024,0.00629385,162699,0xa55a12343fffffff
present80,cpu,cpu_optimized_ilp2,11,2048,0.0125374,163351,0xa55a12343fffffff
present80,cpu,cpu_optimized_ilp2,12,4096,0.0250079,163788,0xa55a12343fffffff
present80,cpu,cpu_optimized_ilp2,13,8192,0.0500709,163608,0xa55a12343fffffff
present80,cpu,cpu_optimized_ilp2,14,16384,0.0999829,163868,0xa55a12343fffffff
present80,cpu,cpu_optimized_ilp2,15,32768,0.200075,163779,0xa55a12343fffffff
present80,cpu,cpu_optimized_ilp2,16,65536,0.400161,163774,0xa55a12343fffffff
present80,cpu,cpu_optimized_ilp2,17,131072,0.800171,163805,0xa55a12343fffffff
present80,cpu,cpu_optimized_ilp2,18,262144,1.60017,163823,0xa55a12343fffffff
present80,cpu,cpu_optimized_ilp2,19,524288,3.19987,163846,0xa55a12343fffffff
present80,cpu,cpu_optimized_ilp2,20,1048576,6.4,163840,0xa55a12343fffffff
present80,cpu,cpu_optimized_ilp2,21,2097152,12.8002,163838,0xa55a12343fffffff
present80,cpu,cpu_optimized_ilp2,22,4194304,25.8288,162389,0xa55a12343fffffff
present80,cpu,cpu_optimized_ilp2,23,8388608,51.5568,162706,0xa55a12343fffffff
present80,cpu,cpu_optimized_ilp2,24,16777216,103.203,162565,0xa55a12343fffffff
present80,cpu,cpu_optimized_ilp2,25,33554432,204.844,163805,0xa55a12343fffffff
present80,cpu,cpu_optimized_ilp2,26,67108864,412.724,162600,0xa55a12343fffffff
present80,cpu,cpu_optimized_ilp2,27,134217728,819.471,163786,0xa55a12343fffffff
present80,cpu,cpu_optimized_ilp2,28,268435456,1638.34,163846,0xa55a12343fffffff
present80,cpu,cpu_optimized_ilp2,29,536870912,3277.81,163790,0xa55a12343fffffff
