cipher,platform,variant,unknown_bits,keys_tested,seconds,keys_per_sec,found_key
aes128,cpu,cpu_baseline,1,2,6.8e-07,2.94118e+06,0xa55a12343fffffff
aes128,gpu,gpu0_baseline,1,2,3.97312e-05,50338.3,0xa55a12343fffffff
aes128,gpu,gpu1_optimized,1,2,2.39584e-05,83478,0xa55a12343fffffff
aes128,gpu,gpu2_optimized+ilp,1,2,2.40416e-05,83189.1,0xa55a12343fffffff
aes128,cpu,cpu_baseline,2,4,1.95e-06,2.05128e+06,0xa55a12343fffffff
aes128,gpu,gpu0_baseline,2,4,3.95168e-05,101223,0xa55a12343fffffff
aes128,gpu,gpu1_optimized,2,4,2.40576e-05,166268,0xa55a12343fffffff
aes128,gpu,gpu2_optimized+ilp,2,4,2.41536e-05,165607,0xa55a12343fffffff
aes128,cpu,cpu_baseline,3,8,2.43667e-06,3.28317e+06,0xa55a12343fffffff
aes128,gpu,gpu0_baseline,3,8,3.96192e-05,201922,0xa55a12343fffffff
aes128,gpu,gpu1_optimized,3,8,2.42816e-05,329468,0xa55a12343fffffff
aes128,gpu,gpu2_optimized+ilp,3,8,2.42656e-05,329685,0xa55a12343fffffff
aes128,cpu,cpu_baseline,4,16,4.80667e-06,3.32871e+06,0xa55a12343fffffff
aes128,gpu,gpu0_baseline,4,16,3.94208e-05,405877,0xa55a12343fffffff
aes128,gpu,gpu1_optimized,4,16,2.41792e-05,661726,0xa55a12343fffffff
aes128,gpu,gpu2_optimized+ilp,4,16,2.42688e-05,659283,0xa55a12343fffffff
aes128,cpu,cpu_baseline,5,32,9.53e-06,3.35782e+06,0xa55a12343fffffff
aes128,gpu,gpu0_baseline,5,32,4.67968e-05,683807,0xa55a12343fffffff
aes128,gpu,gpu1_optimized,5,32,3.32768e-05,961631,0xa55a12343fffffff
aes128,gpu,gpu2_optimized+ilp,5,32,3.3072e-05,967586,0xa55a12343fffffff
aes128,cpu,cpu_baseline,6,64,1.899e-05,3.37019e+06,0xa55a12343fffffff
aes128,gpu,gpu0_baseline,6,64,7.18688e-05,890512,0xa55a12343fffffff
aes128,gpu,gpu1_optimized,6,64,6.072e-05,1.05402e+06,0xa55a12343fffffff
aes128,gpu,gpu2_optimized+ilp,6,64,6.08224e-05,1.05224e+06,0xa55a12343fffffff
aes128,cpu,cpu_baseline,7,128,3.76533e-05,3.39943e+06,0xa55a12343fffffff
aes128,gpu,gpu0_baseline,7,128,0.000126438,1.01235e+06,0xa55a12343fffffff
aes128,gpu,gpu1_optimized,7,128,0.000115898,1.10442e+06,0xa55a12343fffffff
aes128,gpu,gpu2_optimized+ilp,7,128,0.00011561,1.10717e+06,0xa55a12343fffffff
aes128,cpu,cpu_baseline,8,256,7.52463e-05,3.40216e+06,0xa55a12343fffffff
aes128,gpu,gpu0_baseline,8,256,0.000228451,1.12059e+06,0xa55a12343fffffff
aes128,gpu,gpu1_optimized,8,256,0.000227738,1.1241e+06,0xa55a12343fffffff
aes128,gpu,gpu2_optimized+ilp,8,256,0.000227738,1.1241e+06,0xa55a12343fffffff
aes128,cpu,cpu_baseline,9,512,0.000151296,3.38409e+06,0xa55a12343fffffff
aes128,gpu,gpu0_baseline,9,512,0.00022825,2.24316e+06,0xa55a12343fffffff
aes128,gpu,gpu1_optimized,9,512,0.000227635,2.24921e+06,0xa55a12343fffffff
aes128,gpu,gpu2_optimized+ilp,9,512,0.00022783,2.24729e+06,0xa55a12343fffffff
aes128,cpu,cpu_baseline,10,1024,0.000306456,3.34143e+06,0xa55a12343fffffff
aes128,gpu,gpu0_baseline,10,1024,0.000228224,4.48682e+06,0xa55a12343fffffff
aes128,gpu,gpu1_optimized,10,1024,0.000227619,4.49874e+06,0xa55a12343fffffff
aes128,gpu,gpu2_optimized+ilp,10,1024,0.000227914,4.49293e+06,0xa55a12343fffffff
aes128,cpu,cpu_baseline,11,2048,0.000604062,3.39038e+06,0xa55a12343fffffff
aes128,gpu,gpu0_baseline,11,2048,0.000228336,8.96924e+06,0xa55a12343fffffff
aes128,gpu,gpu1_optimized,11,2048,0.000227619,8.99748e+06,0xa55a12343fffffff
aes128,gpu,gpu2_optimized+ilp,11,2048,0.000227821,8.98952e+06,0xa55a12343fffffff
aes128,cpu,cpu_baseline,12,4096,0.00121972,3.35815e+06,0xa55a12343fffffff
