cipher,platform,variant,unknown_bits,keys_tested,seconds,keys_per_sec,found_key
grain128aeadv2,cpu,cpu_baseline,1,2,4.594e-05,43535,0xa55a12343fffffff
grain128aeadv2,gpu,gpu0_baseline,1,2,0.00160369,1247.12,0xa55a12343fffffff
grain128aeadv2,gpu,gpu2_optimized+ilp,1,2,0.00151276,1322.08,0xa55a12343fffffff
grain128aeadv2,gpu,gpu4_bitsliced,1,2,0.00119203,1677.81,0xa55a12343fffffff
grain128aeadv2,cpu,cpu_baseline,2,4,4.04367e-05,98920.1,0xa55a12343fffffff
grain128aeadv2,gpu,gpu0_baseline,2,4,0.00160296,2495.39,0xa55a12343fffffff
grain128aeadv2,gpu,gpu2_optimized+ilp,2,4,0.00151388,2642.23,0xa55a12343fffffff
grain128aeadv2,gpu,gpu4_bitsliced,2,4,0.00119202,3355.64,0xa55a12343fffffff
grain128aeadv2,cpu,cpu_baseline,3,8,7.06163e-05,113288,0xa55a12343fffffff
grain128aeadv2,gpu,gpu0_baseline,3,8,0.00160102,4996.8,0xa55a12343fffffff
grain128aeadv2,gpu,gpu2_optimized+ilp,3,8,0.00151305,5287.32,0xa55a12343fffffff
grain128aeadv2,gpu,gpu4_bitsliced,3,8,0.00119193,6711.82,0xa55a12343fffffff
grain128aeadv2,cpu,cpu_baseline,4,16,0.000140796,113639,0xa55a12343fffffff
grain128aeadv2,gpu,gpu0_baseline,4,16,0.00166326,9619.68,0xa55a12343fffffff
grain128aeadv2,gpu,gpu2_optimized+ilp,4,16,0.00150415,10637.2,0xa55a12343fffffff
grain128aeadv2,gpu,gpu4_bitsliced,4,16,0.00111512,14348.2,0xa55a12343fffffff
grain128aeadv2,cpu,cpu_baseline,5,32,0.000270692,118216,0xa55a12343fffffff
grain128aeadv2,gpu,gpu0_baseline,5,32,0.00161905,19764.7,0xa55a12343fffffff
grain128aeadv2,gpu,gpu2_optimized+ilp,5,32,0.00141289,22648.6,0xa55a12343fffffff
grain128aeadv2,gpu,gpu4_bitsliced,5,32,0.00111493,28701.2,0xa55a12343fffffff
grain128aeadv2,cpu,cpu_baseline,6,64,0.000535694,119471,0xa55a12343fffffff
grain128aeadv2,gpu,gpu0_baseline,6,64,0.00165386,38697.3,0xa55a12343fffffff
grain128aeadv2,gpu,gpu2_optimized+ilp,6,64,0.00143186,44697.2,0xa55a12343fffffff
grain128aeadv2,gpu,gpu4_bitsliced,6,64,0.00111514,57392.1,0xa55a12343fffffff
grain128aeadv2,cpu,cpu_baseline,7,128,0.00107886,118643,0xa55a12343fffffff
grain128aeadv2,gpu,gpu0_baseline,7,128,0.00185272,69087.5,0xa55a12343fffffff
grain128aeadv2,gpu,gpu2_optimized+ilp,7,128,0.00182906,69981.3,0xa55a12343fffffff
grain128aeadv2,gpu,gpu4_bitsliced,7,128,0.00111462,114837,0xa55a12343fffffff
grain128aeadv2,cpu,cpu_baseline,8,256,0.0021594,118551,0xa55a12343fffffff
grain128aeadv2,gpu,gpu0_baseline,8,256,0.0033366,76724.8,0xa55a12343fffffff
grain128aeadv2,gpu,gpu2_optimized+ilp,8,256,0.00307976,83123.3,0xa55a12343fffffff
grain128aeadv2,gpu,gpu4_bitsliced,8,256,0.00111493,229611,0xa55a12343fffffff
grain128aeadv2,cpu,cpu_baseline,9,512,0.00432665,118336,0xa55a12343fffffff
grain128aeadv2,gpu,gpu0_baseline,9,512,0.006389,80137.7,0xa55a12343fffffff
grain128aeadv2,gpu,gpu2_optimized+ilp,9,512,0.0060979,83963.3,0xa55a12343fffffff
grain128aeadv2,gpu,gpu4_bitsliced,9,512,0.00112097,456747,0xa55a12343fffffff
grain128aeadv2,cpu,cpu_baseline,10,1024,0.00854912,119778,0xa55a12343fffffff
grain128aeadv2,gpu,gpu0_baseline,10,1024,0.00638536,160367,0xa55a12343fffffff
grain128aeadv2,gpu,gpu2_optimized+ilp,10,1024,0.00615975,166241,0xa55a12343fffffff
grain128aeadv2,gpu,gpu4_bitsliced,10,1024,0.00111943,914751,0xa55a12343fffffff
grain128aeadv2,cpu,cpu_baseline,11,2048,0.0171572,119367,0xa55a12343fffffff
grain128aeadv2,gpu,gpu0_baseline,11,2048,0.00648509,315802,0xa55a12343fffffff
grain128aeadv2,gpu,gpu2_optimized+ilp,11,2048,0.00633333,323369,0xa55a12343fffffff
grain128aeadv2,gpu,gpu4_bitsliced,11,2048,0.00123208,1.66223e+06,0xa55a12343fffffff
grain128aeadv2,cpu,cpu_baseline,12,4096,0.0343165,119359,0xa55a12343fffffff
grain128aeadv2,gpu,gpu0_baseline,12,4096,0.00648509,631602,0xa55a12343fffffff
grain128aeadv2,gpu,gpu2_optimized+ilp,12,4096,0.00636793,643223,0xa55a12343fffffff
grain128aeadv2,gpu,gpu4_bitsliced,12,4096,0.00245564,1.66799e+06,0xa55a12343fffffff
grain128aeadv2,cpu,cpu_baseline,13,8192,0.0687148,119217,0xa55a12343fffffff
grain128aeadv2,gpu,gpu0_baseline,13,8192,0.0064848,1.26326e+06,0xa55a12343fffffff
grain128aeadv2,gpu,gpu2_optimized+ilp,13,8192,0.00637253,1.28552e+06,0xa55a12343fffffff
grain128aeadv2,gpu,gpu4_bitsliced,13,8192,0.00488019,1.67862e+06,0xa55a12343fffffff
grain128aeadv2,cpu,cpu_baseline,14,16384,0.137125,119482,0xa55a12343fffffff
grain128aeadv2,gpu,gpu0_baseline,14,16384,0.00654592,2.50293e+06,0xa55a12343fffffff
grain128aeadv2,gpu,gpu2_optimized+ilp,14,16384,0.00641891,2.55246e+06,0xa55a12343fffffff
grain128aeadv2,gpu,gpu4_bitsliced,14,16384,0.00487456,3.36112e+06,0xa55a12343fffffff
grain128aeadv2,cpu,cpu_baseline,15,32768,0.27478,119252,0xa55a12343fffffff
grain128aeadv2,gpu,gpu0_baseline,15,32768,0.0116103,2.82232e+06,0xa55a12343fffffff
grain128aeadv2,gpu,gpu2_optimized+ilp,15,32768,0.0114253,2.86803e+06,0xa55a12343fffffff
grain128aeadv2,gpu,gpu4_bitsliced,15,32768,0.00485772,6.74554e+06,0xa55a12343fffffff
grain128aeadv2,cpu,cpu_baseline,16,65536,0.549118,119348,0xa55a12343fffffff
grain128aeadv2,gpu,gpu0_baseline,16,65536,0.0424624,1.54339e+06,0xa55a12343fffffff
grain128aeadv2,gpu,gpu2_optimized+ilp,16,65536,0.0491588,1.33315e+06,0xa55a12343fffffff
grain128aeadv2,gpu,gpu4_bitsliced,16,65536,0.0048816,1.34251e+07,0xa55a12343fffffff
grain128aeadv2,cpu,cpu_baseline,17,131072,1.09511,119688,0xa55a12343fffffff
grain128aeadv2,gpu,gpu0_baseline,17,131072,0.0948251,1.38225e+06,0xa55a12343fffffff
grain128aeadv2,gpu,gpu2_optimized+ilp,17,131072,0.0882423,1.48537e+06,0xa55a12343fffffff
