cipher,platform,variant,unknown_bits,keys_tested,seconds,keys_per_sec,found_key
present80,cpu,cpu_baseline,1,2,1.28333e-06,1.55844e+06,0xa55a12343fffffff
present80,gpu,gpu0_baseline,1,2,1.63488e-05,122333,0xa55a12343fffffff
present80,gpu,gpu1_optimized,1,2,1.65888e-05,120563,0xa55a12343fffffff
present80,gpu,gpu2_optimized+ilp,1,2,1.74944e-05,114322,0xa55a12343fffffff
present80,gpu,gpu3_optimized+shared,1,2,4.41152e-05,45335.8,0xa55a12343fffffff
present80,cpu,cpu_baseline,2,4,2.54e-06,1.5748e+06,0xa55a12343fffffff
present80,gpu,gpu0_baseline,2,4,1.64576e-05,243049,0xa55a12343fffffff
present80,gpu,gpu1_optimized,2,4,2.37408e-05,168486,0xa55a12343fffffff
present80,gpu,gpu2_optimized+ilp,2,4,2.43552e-05,164236,0xa55a12343fffffff
present80,gpu,gpu3_optimized+shared,2,4,4.43296e-05,90233.2,0xa55a12343fffffff
present80,cpu,cpu_baseline,3,8,1.03333e-06,7.74194e+06,0xa55a12343fffffff
present80,gpu,gpu0_baseline,3,8,1.6272e-05,491642,0xa55a12343fffffff
present80,gpu,gpu1_optimized,3,8,3.66592e-05,218226,0xa55a12343fffffff
present80,gpu,gpu2_optimized+ilp,3,8,3.80928e-05,210013,0xa55a12343fffffff
present80,gpu,gpu3_optimized+shared,3,8,4.36128e-05,183432,0xa55a12343fffffff
present80,cpu,cpu_baseline,4,16,1.86e-06,8.60215e+06,0xa55a12343fffffff
present80,gpu,gpu0_baseline,4,16,1.63808e-05,976753,0xa55a12343fffffff
present80,gpu,gpu1_optimized,4,16,5.95616e-05,268629,0xa55a12343fffffff
present80,gpu,gpu2_optimized+ilp,4,16,6.18496e-05,258692,0xa55a12343fffffff
present80,gpu,gpu3_optimized+shared,4,16,4.38048e-05,365257,0xa55a12343fffffff
present80,cpu,cpu_baseline,5,32,3.51333e-06,9.10816e+06,0xa55a12343fffffff
present80,gpu,gpu0_baseline,5,32,1.6176e-05,1.97824e+06,0xa55a12343fffffff
present80,gpu,gpu1_optimized,5,32,9.96224e-05,321213,0xa55a12343fffffff
present80,gpu,gpu2_optimized+ilp,5,32,0.000103206,310058,0xa55a12343fffffff
present80,gpu,gpu3_optimized+shared,5,32,4.33568e-05,738062,0xa55a12343fffffff
present80,cpu,cpu_baseline,6,64,6.84e-06,9.35673e+06,0xa55a12343fffffff
present80,gpu,gpu0_baseline,6,64,1.65792e-05,3.86026e+06,0xa55a12343fffffff
present80,gpu,gpu1_optimized,6,64,0.000134323,476463,0xa55a12343fffffff
present80,gpu,gpu2_optimized+ilp,6,64,0.000134358,476338,0xa55a12343fffffff
present80,gpu,gpu3_optimized+shared,6,64,4.41344e-05,1.45012e+06,0xa55a12343fffffff
present80,cpu,cpu_baseline,7,128,1.41363e-05,9.05468e+06,0xa55a12343fffffff
present80,gpu,gpu0_baseline,7,128,1.95424e-05,6.54986e+06,0xa55a12343fffffff
present80,gpu,gpu1_optimized,7,128,0.000227616,562351,0xa55a12343fffffff
