cipher,platform,variant,unknown_bits,keys_tested,seconds,keys_per_sec,found_key
simon32_64,cpu,cpu_baseline,1,2,7.83333e-07,2.55319e+06,0xa55a12343fffffff
simon32_64,gpu,gpu0_baseline,1,2,5.52e-06,362319,0xa55a12343fffffff
simon32_64,gpu,gpu1_optimized,1,2,5.392e-06,370920,0xa55a12343fffffff
simon32_64,gpu,gpu2_optimized+ilp,1,2,5.2064e-06,384143,0xa55a12343fffffff
simon32_64,cpu,cpu_baseline,2,4,6.93333e-07,5.76923e+06,0xa55a12343fffffff
simon32_64,gpu,gpu0_baseline,2,4,5.2192e-06,766401,0xa55a12343fffffff
simon32_64,gpu,gpu1_optimized,2,4,5.4208e-06,737898,0xa55a12343fffffff
simon32_64,gpu,gpu2_optimized+ilp,2,4,5.9488e-06,672405,0xa55a12343fffffff
simon32_64,cpu,cpu_baseline,3,8,1.20333e-06,6.6482e+06,0xa55a12343fffffff
simon32_64,gpu,gpu0_baseline,3,8,5.2256e-06,1.53092e+06,0xa55a12343fffffff
simon32_64,gpu,gpu1_optimized,3,8,5.2128e-06,1.53468e+06,0xa55a12343fffffff
simon32_64,gpu,gpu2_optimized+ilp,3,8,5.4272e-06,1.47406e+06,0xa55a12343fffffff
simon32_64,cpu,cpu_baseline,4,16,2.19333e-06,7.29483e+06,0xa55a12343fffffff
simon32_64,gpu,gpu0_baseline,4,16,5.4336e-06,2.94464e+06,0xa55a12343fffffff
simon32_64,gpu,gpu1_optimized,4,16,5.0176e-06,3.18878e+06,0xa55a12343fffffff
simon32_64,gpu,gpu2_optimized+ilp,4,16,5.0944e-06,3.1407e+06,0xa55a12343fffffff
simon32_64,cpu,cpu_baseline,5,32,4.28667e-06,7.46501e+06,0xa55a12343fffffff
simon32_64,gpu,gpu0_baseline,5,32,5.2928e-06,6.04595e+06,0xa55a12343fffffff
simon32_64,gpu,gpu1_optimized,5,32,5.12e-06,6.25e+06,0xa55a12343fffffff
simon32_64,gpu,gpu2_optimized+ilp,5,32,5.0304e-06,6.36132e+06,0xa55a12343fffffff
simon32_64,cpu,cpu_baseline,6,64,8.52667e-06,7.50586e+06,0xa55a12343fffffff
simon32_64,gpu,gpu0_baseline,6,64,5.1072e-06,1.25313e+07,0xa55a12343fffffff
simon32_64,gpu,gpu1_optimized,6,64,5.008e-06,1.27796e+07,0xa55a12343fffffff
simon32_64,gpu,gpu2_optimized+ilp,6,64,5.2096e-06,1.2285e+07,0xa55a12343fffffff
simon32_64,cpu,cpu_baseline,7,128,1.70067e-05,7.52646e+06,0xa55a12343fffffff
simon32_64,gpu,gpu0_baseline,7,128,4.9984e-06,2.56082e+07,0xa55a12343fffffff
simon32_64,gpu,gpu1_optimized,7,128,5.1328e-06,2.49377e+07,0xa55a12343fffffff
simon32_64,gpu,gpu2_optimized+ilp,7,128,5.296e-06,2.41692e+07,0xa55a12343fffffff
simon32_64,cpu,cpu_baseline,8,256,3.396e-05,7.53828e+06,0xa55a12343fffffff
simon32_64,gpu,gpu0_baseline,8,256,5.5872e-06,4.5819e+07,0xa55a12343fffffff
simon32_64,gpu,gpu1_optimized,8,256,5.408e-06,4.73373e+07,0xa55a12343fffffff
simon32_64,gpu,gpu2_optimized+ilp,8,256,5.9328e-06,4.31499e+07,0xa55a12343fffffff
simon32_64,cpu,cpu_baseline,9,512,6.94597e-05,7.37118e+06,0xa55a12343fffffff
simon32_64,gpu,gpu0_baseline,9,512,6.8512e-06,7.47314e+07,0xa55a12343fffffff
simon32_64,gpu,gpu1_optimized,9,512,7.0464e-06,7.26612e+07,0xa55a12343fffffff
simon32_64,gpu,gpu2_optimized+ilp,9,512,7.1584e-06,7.15244e+07,0xa55a12343fffffff
simon32_64,cpu,cpu_baseline,10,1024,0.000135743,7.54369e+06,0xa55a12343fffffff
simon32_64,gpu,gpu0_baseline,10,1024,7.0656e-06,1.44928e+08,0xa55a12343fffffff
simon32_64,gpu,gpu1_optimized,10,1024,6.848e-06,1.49533e+08,0xa55a12343fffffff
simon32_64,gpu,gpu2_optimized+ilp,10,1024,7.168e-06,1.42857e+08,0xa55a12343fffffff
simon32_64,cpu,cpu_baseline,11,2048,0.000273395,7.49098e+06,0xa55a12343fffffff
simon32_64,gpu,gpu0_baseline,11,2048,6.7648e-06,3.02744e+08,0xa55a12343fffffff
