cipher,platform,variant,unknown_bits,keys_tested,seconds,keys_per_sec,found_key
salsa20,cpu,cpu_baseline,1,2,5.56667e-07,3.59281e+06,0xa55a12343fffffff
salsa20,gpu,gpu0_baseline,1,2,6.6528e-06,300625,0xa55a12343fffffff
salsa20,gpu,gpu1_optimized,1,2,5.8208e-06,343595,0xa55a12343fffffff
salsa20,gpu,gpu2_optimized+ilp,1,2,5.9232e-06,337655,0xa55a12343fffffff
salsa20,cpu,cpu_baseline,2,4,5.26667e-07,7.59494e+06,0xa55a12343fffffff
salsa20,gpu,gpu0_baseline,2,4,6.4288e-06,622200,0xa55a12343fffffff
salsa20,gpu,gpu1_optimized,2,4,5.4176e-06,738334,0xa55a12343fffffff
salsa20,gpu,gpu2_optimized+ilp,2,4,5.728e-06,698324,0xa55a12343fffffff
salsa20,cpu,cpu_baseline,3,8,8.8e-07,9.09091e+06,0xa55a12343fffffff
salsa20,gpu,gpu0_baseline,3,8,6.5536e-06,1.2207e+06,0xa55a12343fffffff
salsa20,gpu,gpu1_optimized,3,8,5.5264e-06,1.4476e+06,0xa55a12343fffffff
salsa20,gpu,gpu2_optimized+ilp,3,8,5.7344e-06,1.39509e+06,0xa55a12343fffffff
salsa20,cpu,cpu_baseline,4,16,1.69667e-06,9.43026e+06,0xa55a12343fffffff
salsa20,gpu,gpu0_baseline,4,16,6.3264e-06,2.52908e+06,0xa55a12343fffffff
salsa20,gpu,gpu1_optimized,4,16,5.2416e-06,3.0525e+06,0xa55a12343fffffff
salsa20,gpu,gpu2_optimized+ilp,4,16,5.8208e-06,2.74876e+06,0xa55a12343fffffff
salsa20,cpu,cpu_baseline,5,32,3.34367e-06,9.57033e+06,0xa55a12343fffffff
salsa20,gpu,gpu0_baseline,5,32,6.544e-06,4.88998e+06,0xa55a12343fffffff
salsa20,gpu,gpu1_optimized,5,32,5.52e-06,5.7971e+06,0xa55a12343fffffff
salsa20,gpu,gpu2_optimized+ilp,5,32,5.7056e-06,5.60852e+06,0xa55a12343fffffff
