cipher,platform,variant,unknown_bits,keys_tested,seconds,keys_per_sec,found_key
snow_v,cpu,cpu_baseline,1,2,3.82e-06,523560,0xa55a12343fffffff
snow_v,gpu,gpu0_baseline,1,2,3.0096e-05,66454,0xa55a12343fffffff
snow_v,gpu,gpu1_optimized,1,2,1.59648e-05,125276,0xa55a12343fffffff
snow_v,gpu,gpu2_optimized+ilp,1,2,1.6384e-05,122070,0xa55a12343fffffff
snow_v,cpu,cpu_baseline,2,4,4.03333e-06,991736,0xa55a12343fffffff
snow_v,gpu,gpu0_baseline,2,4,3.01056e-05,132866,0xa55a12343fffffff
snow_v,gpu,gpu1_optimized,2,4,1.60512e-05,249203,0xa55a12343fffffff
snow_v,gpu,gpu2_optimized+ilp,2,4,1.62816e-05,245676,0xa55a12343fffffff
snow_v,cpu,cpu_baseline,3,8,6.36e-06,1.25786e+06,0xa55a12343fffffff
snow_v,gpu,gpu0_baseline,3,8,3.03136e-05,263908,0xa55a12343fffffff
snow_v,gpu,gpu1_optimized,3,8,1.60672e-05,497909,0xa55a12343fffffff
snow_v,gpu,gpu2_optimized+ilp,3,8,1.6384e-05,488281,0xa55a12343fffffff
snow_v,cpu,cpu_baseline,4,16,1.26333e-05,1.26649e+06,0xa55a12343fffffff
snow_v,gpu,gpu0_baseline,4,16,3.01056e-05,531463,0xa55a12343fffffff
snow_v,gpu,gpu1_optimized,4,16,1.60736e-05,995421,0xa55a12343fffffff
snow_v,gpu,gpu2_optimized+ilp,4,16,1.61824e-05,988728,0xa55a12343fffffff
snow_v,cpu,cpu_baseline,5,32,2.52267e-05,1.2685e+06,0xa55a12343fffffff
snow_v,gpu,gpu0_baseline,5,32,3.00896e-05,1.06349e+06,0xa55a12343fffffff
snow_v,gpu,gpu1_optimized,5,32,1.62432e-05,1.97006e+06,0xa55a12343fffffff
snow_v,gpu,gpu2_optimized+ilp,5,32,1.61504e-05,1.98138e+06,0xa55a12343fffffff
snow_v,cpu,cpu_baseline,6,64,6.3933e-05,1.00105e+06,0xa55a12343fffffff
snow_v,gpu,gpu0_baseline,6,64,3.03104e-05,2.11149e+06,0xa55a12343fffffff
snow_v,gpu,gpu1_optimized,6,64,1.61568e-05,3.96118e+06,0xa55a12343fffffff
snow_v,gpu,gpu2_optimized+ilp,6,64,1.60384e-05,3.99042e+06,0xa55a12343fffffff
snow_v,cpu,cpu_baseline,7,128,0.00010025,1.27681e+06,0xa55a12343fffffff
snow_v,gpu,gpu0_baseline,7,128,3.06144e-05,4.18104e+06,0xa55a12343fffffff
snow_v,gpu,gpu1_optimized,7,128,1.61632e-05,7.91922e+06,0xa55a12343fffffff
snow_v,gpu,gpu2_optimized+ilp,7,128,1.576e-05,8.12183e+06,0xa55a12343fffffff
snow_v,cpu,cpu_baseline,8,256,0.000208106,1.23014e+06,0xa55a12343fffffff
snow_v,gpu,gpu0_baseline,8,256,3.10368e-05,8.24827e+06,0xa55a12343fffffff
snow_v,gpu,gpu1_optimized,8,256,1.71072e-05,1.49645e+07,0xa55a12343fffffff
snow_v,gpu,gpu2_optimized+ilp,8,256,1.70912e-05,1.49785e+07,0xa55a12343fffffff
snow_v,cpu,cpu_baseline,9,512,0.000421913,1.21352e+06,0xa55a12343fffffff
snow_v,gpu,gpu0_baseline,9,512,3.13184e-05,1.63482e+07,0xa55a12343fffffff
snow_v,gpu,gpu1_optimized,9,512,2.93824e-05,1.74254e+07,0xa55a12343fffffff
snow_v,gpu,gpu2_optimized+ilp,9,512,2.95616e-05,1.73198e+07,0xa55a12343fffffff
snow_v,cpu,cpu_baseline,10,1024,0.000866299,1.18204e+06,0xa55a12343fffffff
snow_v,gpu,gpu0_baseline,10,1024,3.08e-05,3.32468e+07,0xa55a12343fffffff
snow_v,gpu,gpu1_optimized,10,1024,2.9488e-05,3.4726e+07,0xa55a12343fffffff
snow_v,gpu,gpu2_optimized+ilp,10,1024,2.92736e-05,3.49803e+07,0xa55a12343fffffff
snow_v,cpu,cpu_baseline,11,2048,0.00175457,1.16723e+06,0xa55a12343fffffff
snow_v,gpu,gpu0_baseline,11,2048,3.07904e-05,6.65142e+07,0xa55a12343fffffff
snow_v,gpu,gpu1_optimized,11,2048,2.97088e-05,6.89358e+07,0xa55a12343fffffff
snow_v,gpu,gpu2_optimized+ilp,11,2048,2.95904e-05,6.92116e+07,0xa55a12343fffffff
snow_v,cpu,cpu_baseline,12,4096,0.00354887,1.15417e+06,0xa55a12343fffffff
snow_v,gpu,gpu0_baseline,12,4096,3.02912e-05,1.35221e+08,0xa55a12343fffffff
snow_v,gpu,gpu1_optimized,12,4096,2.93888e-05,1.39373e+08,0xa55a12343fffffff
snow_v,gpu,gpu2_optimized+ilp,12,4096,2.96864e-05,1.37976e+08,0xa55a12343fffffff
snow_v,cpu,cpu_baseline,13,8192,0.00714247,1.14694e+06,0xa55a12343fffffff
snow_v,gpu,gpu0_baseline,13,8192,3.01152e-05,2.72022e+08,0xa55a12343fffffff
snow_v,gpu,gpu1_optimized,13,8192,2.93632e-05,2.78989e+08,0xa55a12343fffffff
snow_v,gpu,gpu2_optimized+ilp,13,8192,2.95808e-05,2.76936e+08,0xa55a12343fffffff
snow_v,cpu,cpu_baseline,14,16384,0.014273,1.1479e+06,0xa55a12343fffffff
snow_v,gpu,gpu0_baseline,14,16384,3.11168e-05,5.26532e+08,0xa55a12343fffffff
snow_v,gpu,gpu1_optimized,14,16384,2.93728e-05,5.57795e+08,0xa55a12343fffffff
snow_v,gpu,gpu2_optimized+ilp,14,16384,2.93888e-05,5.57491e+08,0xa55a12343fffffff
snow_v,cpu,cpu_baseline,15,32768,0.0285966,1.14587e+06,0xa55a12343fffffff
snow_v,gpu,gpu0_baseline,15,32768,6.0512e-05,5.41512e+08,0xa55a12343fffffff
snow_v,gpu,gpu1_optimized,15,32768,2.99936e-05,1.0925e+09,0xa55a12343fffffff
snow_v,gpu,gpu2_optimized+ilp,15,32768,2.99872e-05,1.09273e+09,0xa55a12343fffffff
snow_v,cpu,cpu_baseline,16,65536,0.0571027,1.14769e+06,0xa55a12343fffffff
snow_v,gpu,gpu0_baseline,16,65536,0.000114477,5.72483e+08,0xa55a12343fffffff
snow_v,gpu,gpu1_optimized,16,65536,5.48864e-05,1.19403e+09,0xa55a12343fffffff
snow_v,gpu,gpu2_optimized+ilp,16,65536,5.4672e-05,1.19871e+09,0xa55a12343fffffff
snow_v,cpu,cpu_baseline,17,131072,0.113287,1.15699e+06,0xa55a12343fffffff
snow_v,gpu,gpu0_baseline,17,131072,0.000200486,6.5377e+08,0xa55a12343fffffff
snow_v,gpu,gpu1_optimized,17,131072,9.18432e-05,1.42713e+09,0xa55a12343fffffff
snow_v,gpu,gpu2_optimized+ilp,17,131072,9.13568e-05,1.43473e+09,0xa55a12343fffffff
snow_v,cpu,cpu_baseline,18,262144,0.226427,1.15774e+06,0xa55a12343fffffff
snow_v,gpu,gpu0_baseline,18,262144,0.000371699,7.05258e+08,0xa55a12343fffffff
snow_v,gpu,gpu1_optimized,18,262144,0.00016599,1.57927e+09,0xa55a12343fffffff
snow_v,gpu,gpu2_optimized+ilp,18,262144,0.000165664,1.58238e+09,0xa55a12343fffffff
snow_v,cpu,cpu_baseline,19,524288,0.453179,1.15691e+06,0xa55a12343fffffff
snow_v,gpu,gpu0_baseline,19,524288,0.000714726,7.33551e+08,0xa55a12343fffffff
snow_v,gpu,gpu1_optimized,19,524288,0.000326554,1.60552e+09,0xa55a12343fffffff
snow_v,gpu,gpu2_optimized+ilp,19,524288,0.00033792,1.55152e+09,0xa55a12343fffffff
snow_v,cpu,cpu_baseline,20,1048576,0.90453,1.15925e+06,0xa55a12343fffffff
snow_v,gpu,gpu0_baseline,20,1048576,0.0013995,7.4925e+08,0xa55a12343fffffff
snow_v,gpu,gpu1_optimized,20,1048576,0.00064841,1.61715e+09,0xa55a12343fffffff
snow_v,gpu,gpu2_optimized+ilp,20,1048576,0.000669978,1.56509e+09,0xa55a12343fffffff
snow_v,cpu,cpu_baseline,21,2097152,1.81263,1.15696e+06,0xa55a12343fffffff
snow_v,gpu,gpu0_baseline,21,2097152,0.00277299,7.56278e+08,0xa55a12343fffffff
snow_v,gpu,gpu1_optimized,21,2097152,0.00129207,1.6231e+09,0xa55a12343fffffff
snow_v,gpu,gpu2_optimized+ilp,21,2097152,0.00134084,1.56406e+09,0xa55a12343fffffff
snow_v,cpu,cpu_baseline,22,4194304,3.58852,1.16881e+06,0xa55a12343fffffff
snow_v,gpu,gpu0_baseline,22,4194304,0.00553409,7.57904e+08,0xa55a12343fffffff
snow_v,gpu,gpu1_optimized,22,4194304,0.00259921,1.61369e+09,0xa55a12343fffffff
snow_v,gpu,gpu2_optimized+ilp,22,4194304,0.00266974,1.57105e+09,0xa55a12343fffffff
snow_v,cpu,cpu_baseline,23,8388608,7.14416,1.17419e+06,0xa55a12343fffffff
snow_v,gpu,gpu0_baseline,23,8388608,0.0110304,7.605e+08,0xa55a12343fffffff
snow_v,gpu,gpu1_optimized,23,8388608,0.00515195,1.62824e+09,0xa55a12343fffffff
snow_v,gpu,gpu2_optimized+ilp,23,8388608,0.00525964,1.5949e+09,0xa55a12343fffffff
snow_v,cpu,cpu_baseline,24,16777216,14.6627,1.14421e+06,0xa55a12343fffffff
snow_v,gpu,gpu0_baseline,24,16777216,0.0219795,7.63311e+08,0xa55a12343fffffff
snow_v,gpu,gpu1_optimized,24,16777216,0.0102169,1.6421e+09,0xa55a12343fffffff
snow_v,gpu,gpu2_optimized+ilp,24,16777216,0.0105958,1.58338e+09,0xa55a12343fffffff
snow_v,cpu,cpu_baseline,25,33554432,28.7305,1.1679e+06,0xa55a12343fffffff
snow_v,gpu,gpu0_baseline,25,33554432,0.0425352,7.88862e+08,0xa55a12343fffffff
snow_v,gpu,gpu1_optimized,25,33554432,0.0205852,1.63003e+09,0xa55a12343fffffff
snow_v,gpu,gpu2_optimized+ilp,25,33554432,0.0212209,1.5812e+09,0xa55a12343fffffff
snow_v,cpu,cpu_baseline,26,67108864,57.8315,1.16042e+06,0xa55a12343fffffff
snow_v,gpu,gpu0_baseline,26,67108864,0.0828128,8.10368e+08,0xa55a12343fffffff
snow_v,gpu,gpu1_optimized,26,67108864,0.041191,1.62921e+09,0xa55a12343fffffff
snow_v,gpu,gpu2_optimized+ilp,26,67108864,0.0425153,1.57847e+09,0xa55a12343fffffff
snow_v,cpu,cpu_baseline,27,134217728,116.312,1.15394e+06,0xa55a12343fffffff
snow_v,gpu,gpu0_baseline,27,134217728,0.16541,8.11425e+08,0xa55a12343fffffff
snow_v,gpu,gpu1_optimized,27,134217728,0.0823685,1.62948e+09,0xa55a12343fffffff
snow_v,gpu,gpu2_optimized+ilp,27,134217728,0.0855034,1.56974e+09,0xa55a12343fffffff
snow_v,cpu,cpu_baseline,28,268435456,231.832,1.15789e+06,0xa55a12343fffffff
snow_v,gpu,gpu0_baseline,28,268435456,0.331231,8.10418e+08,0xa55a12343fffffff
snow_v,gpu,gpu1_optimized,28,268435456,0.165952,1.61755e+09,0xa55a12343fffffff
snow_v,gpu,gpu2_optimized+ilp,28,268435456,0.172803,1.55342e+09,0xa55a12343fffffff
snow_v,cpu,cpu_baseline,29,536870912,467.286,1.14891e+06,0xa55a12343fffffff
snow_v,gpu,gpu0_baseline,29,536870912,0.663269,8.09432e+08,0xa55a12343fffffff
snow_v,gpu,gpu1_optimized,29,536870912,0.332883,1.61279e+09,0xa55a12343fffffff
snow_v,gpu,gpu2_optimized+ilp,29,536870912,0.346878,1.54772e+09,0xa55a12343fffffff
snow_v,cpu,cpu_baseline,30,1073741824,918.281,1.1693e+06,0xa55a12343fffffff
snow_v,gpu,gpu0_baseline,30,1073741824,1.32851,8.08231e+08,0xa55a12343fffffff
snow_v,gpu,gpu1_optimized,30,1073741824,0.668488,1.60623e+09,0xa55a12343fffffff
snow_v,gpu,gpu2_optimized+ilp,30,1073741824,0.687584,1.56162e+09,0xa55a12343fffffff
